"Statistic Label","Month","Main Accommodation Type","UNIT","VALUE"
"Number of Overnight Trips by Foreign Visitors","2023 September","Guest house/bed & breakfast","Thousand","46.9"
"Number of Overnight Trips by Foreign Visitors","2023 September","Friends/relatives/own property","Thousand","210.1"
"Number of Overnight Trips by Foreign Visitors","2023 September","Self catering/rented house","Thousand","28.2"
"Number of Overnight Trips by Foreign Visitors","2023 September","Other private tourism accommodation n.e.c.","Thousand","26.9"
"Number of Overnight Trips by Foreign Visitors","2023 September","All types of accommodation","Thousand","582.1"
"Number of Overnight Trips by Foreign Visitors","2023 October","Hotel/conference centre","Thousand","266"
"Number of Overnight Trips by Foreign Visitors","2023 October","Guest house/bed & breakfast","Thousand","30.4"
"Number of Overnight Trips by Foreign Visitors","2023 October","Friends/relatives/own property","Thousand","218.2"
"Number of Overnight Trips by Foreign Visitors","2023 October","Self catering/rented house","Thousand","30.1"
"Number of Overnight Trips by Foreign Visitors","2023 October","Other private tourism accommodation n.e.c.","Thousand","32.6"
"Number of Overnight Trips by Foreign Visitors","2023 October","All types of accommodation","Thousand","577.4"
"Number of Overnight Trips by Foreign Visitors","2023 November","Hotel/conference centre","Thousand","208.2"
"Number of Overnight Trips by Foreign Visitors","2023 November","Guest house/bed & breakfast","Thousand","16.5"
"Number of Overnight Trips by Foreign Visitors","2023 November","Friends/relatives/own property","Thousand","182.4"
"Number of Overnight Trips by Foreign Visitors","2023 November","Self catering/rented house","Thousand","17.4"
"Number of Overnight Trips by Foreign Visitors","2023 November","Other private tourism accommodation n.e.c.","Thousand","23"
"Number of Overnight Trips by Foreign Visitors","2023 November","All types of accommodation","Thousand","447.5"
"Number of Overnight Trips by Foreign Visitors","2023 December","Hotel/conference centre","Thousand","180.5"
"Number of Overnight Trips by Foreign Visitors","2023 December","Guest house/bed & breakfast","Thousand","11.8"
"Number of Overnight Trips by Foreign Visitors","2023 December","Friends/relatives/own property","Thousand","203.8"
"Number of Overnight Trips by Foreign Visitors","2023 December","Self catering/rented house","Thousand","15.7"
"Number of Overnight Trips by Foreign Visitors","2023 December","Other private tourism accommodation n.e.c.","Thousand","33.5"
"Number of Overnight Trips by Foreign Visitors","2023 December","All types of accommodation","Thousand","445.2"
"Number of Overnight Trips by Foreign Visitors","2024 January","Hotel/conference centre","Thousand","162.8"
"Number of Overnight Trips by Foreign Visitors","2024 January","Guest house/bed & breakfast","Thousand","11.3"
"Number of Overnight Trips by Foreign Visitors","2024 January","Friends/relatives/own property","Thousand","246.3"
"Number of Overnight Trips by Foreign Visitors","2024 January","Self catering/rented house","Thousand","14.3"
"Number of Overnight Trips by Foreign Visitors","2024 January","Other private tourism accommodation n.e.c.","Thousand","17.2"
"Number of Overnight Trips by Foreign Visitors","2024 January","All types of accommodation","Thousand","451.9"
"Number of Overnight Trips by Foreign Visitors","2024 February","Hotel/conference centre","Thousand","204.7"
"Number of Overnight Trips by Foreign Visitors","2024 February","Guest house/bed & breakfast","Thousand","17.4"
"Number of Overnight Trips by Foreign Visitors","2024 February","Friends/relatives/own property","Thousand","170.2"
"Number of Overnight Trips by Foreign Visitors","2024 February","Self catering/rented house","Thousand","15.5"
"Number of Overnight Trips by Foreign Visitors","2024 February","Other private tourism accommodation n.e.c.","Thousand","25.3"
"Number of Overnight Trips by Foreign Visitors","2024 February","All types of accommodation","Thousand","433.3"
"Number of Overnight Trips by Foreign Visitors","2024 March","Hotel/conference centre","Thousand","258"
"Number of Overnight Trips by Foreign Visitors","2024 March","Guest house/bed & breakfast","Thousand","22.3"
"Number of Overnight Trips by Foreign Visitors","2024 March","Friends/relatives/own property","Thousand","187.2"
"Number of Overnight Trips by Foreign Visitors","2024 March","Self catering/rented house","Thousand","20.3"
"Number of Overnight Trips by Foreign Visitors","2024 March","Other private tourism accommodation n.e.c.","Thousand","34.1"
"Number of Overnight Trips by Foreign Visitors","2024 March","All types of accommodation","Thousand","521.8"
"Number of Overnight Trips by Foreign Visitors","2024 April","Hotel/conference centre","Thousand","252.1"
"Number of Overnight Trips by Foreign Visitors","2024 April","Guest house/bed & breakfast","Thousand","24.2"
"Number of Overnight Trips by Foreign Visitors","2024 April","Friends/relatives/own property","Thousand","215.5"
"Number of Overnight Trips by Foreign Visitors","2024 April","Self catering/rented house","Thousand","25.9"
"Number of Overnight Trips by Foreign Visitors","2024 April","Other private tourism accommodation n.e.c.","Thousand","31.3"
"Number of Overnight Trips by Foreign Visitors","2024 April","All types of accommodation","Thousand","549.1"
"Number of Overnight Trips by Foreign Visitors","2024 May","Hotel/conference centre","Thousand","311.9"
"Number of Overnight Trips by Foreign Visitors","2024 May","Guest house/bed & breakfast","Thousand","35.3"
"Number of Overnight Trips by Foreign Visitors","2024 May","Friends/relatives/own property","Thousand","204.7"
"Number of Overnight Trips by Foreign Visitors","2024 May","Self catering/rented house","Thousand","28.4"
"Number of Overnight Trips by Foreign Visitors","2024 May","Other private tourism accommodation n.e.c.","Thousand","42.1"
"Number of Overnight Trips by Foreign Visitors","2024 May","All types of accommodation","Thousand","622.3"
"Number of Overnight Trips by Foreign Visitors","2024 June","Hotel/conference centre","Thousand","308.5"
"Number of Overnight Trips by Foreign Visitors","2024 June","Guest house/bed & breakfast","Thousand","39.8"
